model,version,year,km,color,price,location
MiTo,1.3 JTD City,2012,150000,Beyaz,350000,Antalya Kumluca
Giulietta,1.6 JTD Super TCT,2016,100000,Kýrmýzý,670000,Mersin Yeniþehir
Giulietta,1.6 JTD Distinctive,2014,165000,Siyah,355000,Konya Meram
Giulietta,1.4 TB MultiAir Distinctive,2015,119000,Mavi,576000,Kocaeli Baþiskele
GTV,2.0 TB,1996,125000,Bordo,410000,Ýstanbul Beþiktaþ
Giulietta,1.6 JTD Progression,2016,60000,Beyaz,615000,Ýstanbul Kadýköy
159,1.9 JTD Distinctive Plus,2008,203700,Gümüþ Gri,408500,Aksaray Merkez
156,2.0 TS Selespeed,2001,131000,Lacivert,165000,Ýzmir Bornova
Giulietta,1.4 TB MultiAir Distinctive,2012,199800,Siyah,433000,Ankara Akyurt
Brera,3.2 JTS Q4 Sky Window,2006,6080,Siyah,1700000,Ýstanbul Maltepe
145,1.7,1994,247000,Gri,108000,Ýstanbul Eyüpsultan
147,1.6 TS Black Line,2008,215400,Kýrmýzý,265000,Ýstanbul Esenyurt
Giulietta,1.4 TB MultiAir Distinctive,2011,152000,Kýrmýzý,392900,Kocaeli Darýca
Giulietta,1.6 JTD Distinctive,2014,199820,Beyaz,320000,Ýstanbul Sarýyer
MiTo,1.4 T MultiAir TCT,2011,145000,Beyaz,429900,Ýstanbul Esenyurt
Giulietta,1.6 JTD Distinctive,2014,138600,Beyaz,455000,Trabzon Akçaabat
156,1.6 TS Distinctive,2005,240000,Gri,270000,Mardin Savur
159,1.9 JTD Distinctive,2008,300500,Siyah,310000,Ýstanbul Zeytinburnu
Giulietta,1.4 TB MultiAir Distinctive,2012,165000,Füme,488000,Ýstanbul Fatih
156,1.6 TS Distinctive,2004,185000,Füme,245750,Ýstanbul Kadýköy
Giulietta,1.6 JTD Distinctive,2012,199500,Beyaz,435000,Ýstanbul Üsküdar
Brera,3.2 JTS Q4 Sky Window,2007,99000,Kýrmýzý,1100000,Ýstanbul Sarýyer
156,1.6 TS Distinctive,2005,214800,Þampanya,260000,Ýstanbul Avcýlar
Giulia,2.0 T Veloce,2020,46000,Mavi,2150000,Ýstanbul Kadýköy
